Log file created at: 2019/01/07 17:55:50
Running on machine: A01-R06-I7-231-J33GRGY
Binary: Built with gc go1.11.1 for linux/amd64
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0107 17:55:50.797753    9981 init.go:88] 

Dgraph version   : v1.0.11
Commit SHA-1     : b2a09c5b
Commit timestamp : 2018-12-17 09:50:56 -0800
Branch           : HEAD
Go version       : go1.11.1

For Dgraph official documentation, visit https://docs.dgraph.io.
For discussions about Dgraph     , visit https://discuss.dgraph.io.
To say hi to the community       , visit https://dgraph.slack.com.

Licensed variously under the Apache Public License 2.0 and Dgraph Community License.
Copyright 2015-2018 Dgraph Labs, Inc.


I0108 00:12:08.578319    9981 oracle.go:103] Purged below ts:11727, len(o.commits):2, len(o.rowCommit):73709
E0108 00:12:40.287595    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:12:40.343690    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 00:12:47.287726    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:12:47.395872    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 00:13:50.841116    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:13:51.134928    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 00:27:38.055074    9981 pool.go:206] Echo error from 10.237.7.230:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:27:38.189104    9981 pool.go:217] Connection established with 10.237.7.230:7083
E0108 00:36:09.287626    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:36:09.418937    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 00:42:11.287823    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:42:11.288572    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 00:45:13.287661    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:45:13.541547    9981 pool.go:217] Connection established with 10.237.7.232:7083
I0108 00:47:51.458946    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 00:47:51.459243    9981 zero.go:386] Connected: cluster_info_only:true 
I0108 00:48:33.876582    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 00:48:33.876967    9981 zero.go:386] Connected: cluster_info_only:true 
E0108 00:49:07.287680    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:49:07.987350    9981 pool.go:217] Connection established with 10.237.7.232:7083
I0108 00:49:11.549017    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 00:49:11.549230    9981 zero.go:386] Connected: cluster_info_only:true 
I0108 00:49:15.920074    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 00:49:15.920375    9981 zero.go:386] Connected: cluster_info_only:true 
E0108 00:52:58.841018    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 00:52:59.699430    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 01:53:24.287637    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 01:53:24.411238    9981 pool.go:217] Connection established with 10.237.7.232:7083
I0108 02:10:05.622941    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 02:10:05.623289    9981 zero.go:386] Connected: cluster_info_only:true 
E0108 02:10:56.841141    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 02:10:57.349458    9981 pool.go:217] Connection established with 10.237.7.231:7083
I0108 02:15:12.741337    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 02:15:12.741593    9981 zero.go:386] Connected: cluster_info_only:true 
E0108 02:37:55.841012    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 02:37:55.908496    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 02:38:41.287710    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 02:38:41.333143    9981 pool.go:217] Connection established with 10.237.7.232:7083
I0108 03:14:05.194517    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 03:14:05.195384    9981 zero.go:386] Connected: cluster_info_only:true 
I0108 04:01:27.560619    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 04:01:27.560976    9981 zero.go:386] Connected: cluster_info_only:true 
E0108 04:03:35.841128    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 04:03:36.187893    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 04:08:26.287602    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 04:08:26.413348    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 04:12:16.841024    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 04:12:17.201452    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 04:28:52.055163    9981 pool.go:206] Echo error from 10.237.7.230:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 04:28:52.637777    9981 pool.go:217] Connection established with 10.237.7.230:7083
E0108 04:30:39.287673    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 04:30:39.313857    9981 pool.go:217] Connection established with 10.237.7.232:7083
I0108 04:32:02.883374    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 04:32:02.884270    9981 zero.go:386] Connected: cluster_info_only:true 
E0108 04:43:25.287590    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 04:43:26.368419    9981 pool.go:217] Connection established with 10.237.7.232:7083
I0108 05:01:35.823643    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 05:01:35.823942    9981 zero.go:386] Connected: cluster_info_only:true 
I0108 05:01:39.188269    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 05:01:39.188499    9981 zero.go:386] Connected: cluster_info_only:true 
E0108 05:02:06.055066    9981 pool.go:206] Echo error from 10.237.7.230:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 05:02:06.769979    9981 pool.go:217] Connection established with 10.237.7.230:7083
E0108 05:03:51.287619    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 05:03:51.672529    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 05:12:49.841034    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 05:12:50.173663    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 05:14:36.055055    9981 pool.go:206] Echo error from 10.237.7.230:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 05:14:36.282724    9981 pool.go:217] Connection established with 10.237.7.230:7083
E0108 05:15:55.287797    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 05:15:55.832297    9981 pool.go:217] Connection established with 10.237.7.232:7083
I0108 05:15:59.171275    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 05:15:59.171496    9981 zero.go:386] Connected: cluster_info_only:true 
I0108 05:24:53.706367    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 05:24:53.706582    9981 zero.go:386] Connected: cluster_info_only:true 
I0108 05:25:39.545683    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 05:25:39.545899    9981 zero.go:386] Connected: cluster_info_only:true 
E0108 05:37:06.055046    9981 pool.go:206] Echo error from 10.237.7.230:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 05:37:06.265429    9981 pool.go:217] Connection established with 10.237.7.230:7083
E0108 05:38:25.287635    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 05:38:26.704142    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 05:39:36.055054    9981 pool.go:206] Echo error from 10.237.7.230:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 05:39:37.354756    9981 pool.go:217] Connection established with 10.237.7.230:7083
E0108 05:40:49.287653    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 05:40:49.358510    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 05:47:35.287673    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 05:47:35.400951    9981 pool.go:217] Connection established with 10.237.7.232:7083
I0108 05:51:18.051594    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 05:51:18.052052    9981 zero.go:386] Connected: cluster_info_only:true 
I0108 05:52:51.245861    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 05:52:51.246112    9981 zero.go:386] Connected: cluster_info_only:true 
I0108 05:53:28.043697    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 05:53:28.044427    9981 zero.go:386] Connected: cluster_info_only:true 
I0108 06:01:39.565382    9981 oracle.go:103] Purged below ts:26552, len(o.commits):0, len(o.rowCommit):5354
E0108 06:07:06.055152    9981 pool.go:206] Echo error from 10.237.7.230:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 06:07:07.653230    9981 pool.go:217] Connection established with 10.237.7.230:7083
E0108 06:17:13.841228    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 06:17:13.915042    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 06:17:15.841140    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 06:17:16.253273    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 06:19:57.840989    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 06:19:58.879386    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 06:20:20.841193    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 06:20:20.853833    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 06:21:35.840976    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 06:21:36.314713    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 06:21:40.287665    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 06:21:41.327337    9981 pool.go:217] Connection established with 10.237.7.232:7083
I0108 06:22:38.096505    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 06:22:38.096880    9981 zero.go:386] Connected: cluster_info_only:true 
E0108 06:24:45.840956    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 06:24:46.152907    9981 pool.go:217] Connection established with 10.237.7.231:7083
I0108 06:25:51.026653    9981 oracle.go:103] Purged below ts:27519, len(o.commits):1, len(o.rowCommit):34853
E0108 06:26:08.055087    9981 pool.go:206] Echo error from 10.237.7.230:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 06:26:08.341038    9981 pool.go:217] Connection established with 10.237.7.230:7083
I0108 06:28:11.763288    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 06:28:11.763554    9981 zero.go:386] Connected: cluster_info_only:true 
E0108 06:35:19.841063    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
